answer_id,department,orig_is_multi,arctic-base @ 1024d,arctic-base @ 768d,arctic-base @ 512d,arctic-base @ 256d
9cc895b8-f03e-11ef-b7c9-010101010000,치과,1,1,1,1,1
9cc91eea-f03e-11ef-a3dd-010101010000,내과,0,1,1,1,1
9cc945eb-f03e-11ef-9e94-010101010000,외과,1,1,1,1,1
9cca3051-f03e-11ef-85a0-010101010000,피부과,0,1,1,1,1
9ccb1aae-f03e-11ef-8255-010101010000,내과,1,187,174,197,191
9ccb41bf-f03e-11ef-9a93-010101010000,내과,0,4,3,5,5
9cce00e0-f03e-11ef-8bfe-010101010000,외과,1,4,4,4,4
9ccec434-f03e-11ef-b209-010101010000,외과,1,445,509,452,455
9cd15c42-f03e-11ef-b4e4-010101010000,치과,0,3,3,3,3
9cd21f96-f03e-11ef-8c18-010101010000,내과,0,3,3,2,2
9cd309eb-f03e-11ef-9b31-010101010000,외과,1,8,11,11,10
9cd44270-f03e-11ef-afae-010101010000,내과,1,4,5,4,2
9cd4697c-f03e-11ef-8daf-010101010000,내과,0,101,116,116,100
9cd68c9f-f03e-11ef-9099-010101010000,내과,1,81,115,89,60
9cd6daaf-f03e-11ef-8c55-010101010000,내과,0,33,29,28,19
9cd79e0b-f03e-11ef-92ce-010101010000,내과,0,1,1,1,1
9cdbd0bb-f03e-11ef-9573-010101010000,피부과,1,3,2,2,2
9cdbf7ca-f03e-11ef-8996-010101010000,내과,1,28,30,48,35
9cdcbb26-f03e-11ef-8e3e-010101010000,내과,0,1,1,1,1
9ce08baf-f03e-11ef-ba87-010101010000,내과,1,1,1,1,1
9ce17611-f03e-11ef-a638-010101010000,외과,1,7,11,11,3
9ce1eb2b-f03e-11ef-b723-010101010000,외과,1,1,1,1,1
9ce2ae8a-f03e-11ef-a2c8-010101010000,내과,1,2,4,4,3
9ce594f1-f03e-11ef-9025-010101010000,내과,0,1,1,1,1
9ce67f45-f03e-11ef-8d9e-010101010000,외과,1,1,1,1,1
9ce84105-f03e-11ef-abc8-010101010000,외과,0,1,1,1,1
9ce92b6b-f03e-11ef-a6cb-010101010000,내과,0,1,1,1,1
9ce9eeb8-f03e-11ef-8fec-010101010000,외과,1,8,6,5,5
9cea63ea-f03e-11ef-bc3c-010101010000,내과,0,1,2,2,5
9cead91e-f03e-11ef-b517-010101010000,내과,0,1,1,1,1
9cebc376-f03e-11ef-9534-010101010000,내과,1,14,9,9,14
9cebeaa4-f03e-11ef-b0c5-010101010000,내과,0,1,1,1,1
9ced7120-f03e-11ef-a200-010101010000,내과,1,3,3,2,2
9ceed0bb-f03e-11ef-950c-010101010000,외과,0,4,3,2,4
9cefe221-f03e-11ef-8890-010101010000,내과,1,1,1,1,1
9cf05758-f03e-11ef-8aaf-010101010000,내과,1,1,1,1,1
9cf6ace1-f03e-11ef-a727-010101010000,외과,1,2,1,2,2
9cf74961-f03e-11ef-915d-010101010000,내과,0,7,8,9,6
9cfa7da5-f03e-11ef-84b4-010101010000,내과,1,1,1,1,1
9cfaf2e9-f03e-11ef-b008-010101010000,외과,0,1,1,1,1
9cfb19ec-f03e-11ef-aa81-010101010000,외과,1,3375,4752,5025,3180
9cfceec2-f03e-11ef-8daf-010101010000,내과,0,1838,1936,1673,2085
9cfe7554-f03e-11ef-81c9-010101010000,외과,1,30,22,26,25
9cfeea95-f03e-11ef-887e-010101010000,피부과,1,1,1,1,1
