answer_id,department,orig_is_multi,E-3,E-2,E-6,E-1,E-7,E-5
9cc895b8-f03e-11ef-b7c9-010101010000,치과,1,1,1,2,3,1,2
9cc91eea-f03e-11ef-a3dd-010101010000,내과,0,1,1,1,1,1,1
9cc945eb-f03e-11ef-9e94-010101010000,외과,1,1,1,1,2,1,1
9cca3051-f03e-11ef-85a0-010101010000,피부과,0,1,1,1,1,1,1
9ccb1aae-f03e-11ef-8255-010101010000,내과,1,209,217,142,161,187,158
9ccb41bf-f03e-11ef-9a93-010101010000,내과,0,120,22,3,16,4,7
9cce00e0-f03e-11ef-8bfe-010101010000,외과,1,1,2,3,8,4,5
9ccec434-f03e-11ef-b209-010101010000,외과,1,7,78,96,36,446,69
9cd15c42-f03e-11ef-b4e4-010101010000,치과,0,3,4,2,4,3,2
9cd21f96-f03e-11ef-8c18-010101010000,내과,0,10,9,5,8,3,4
9cd309eb-f03e-11ef-9b31-010101010000,외과,1,1,34,10,43,8,10
9cd44270-f03e-11ef-afae-010101010000,내과,1,1,3,4,8,4,6
9cd4697c-f03e-11ef-8daf-010101010000,내과,0,50,81,73,72,101,63
9cd68c9f-f03e-11ef-9099-010101010000,내과,1,266,69,111,112,81,94
9cd6daaf-f03e-11ef-8c55-010101010000,내과,0,766,44,22,15,33,18
9cd79e0b-f03e-11ef-92ce-010101010000,내과,0,1,1,1,1,1,1
9cdbd0bb-f03e-11ef-9573-010101010000,피부과,1,2,1,3,1,3,3
9cdbf7ca-f03e-11ef-8996-010101010000,내과,1,18,13,67,39,28,40
9cdcbb26-f03e-11ef-8e3e-010101010000,내과,0,1,1,1,1,1,1
9ce08baf-f03e-11ef-ba87-010101010000,내과,1,1,1,1,1,1,1
9ce17611-f03e-11ef-a638-010101010000,외과,1,26,92,9,32,7,10
9ce1eb2b-f03e-11ef-b723-010101010000,외과,1,659,7,1,8,1,4
9ce2ae8a-f03e-11ef-a2c8-010101010000,내과,1,16,10,1,4,2,3
9ce594f1-f03e-11ef-9025-010101010000,내과,0,19,3,1,5,1,1
9ce67f45-f03e-11ef-8d9e-010101010000,외과,1,19,2,1,3,1,1
9ce84105-f03e-11ef-abc8-010101010000,외과,0,4,2,1,2,1,1
9ce92b6b-f03e-11ef-a6cb-010101010000,내과,0,3,2,1,3,1,2
9ce9eeb8-f03e-11ef-8fec-010101010000,외과,1,3,32,18,28,8,17
9cea63ea-f03e-11ef-bc3c-010101010000,내과,0,4,6,3,5,1,5
9cead91e-f03e-11ef-b517-010101010000,내과,0,1,3,1,1,1,1
9cebc376-f03e-11ef-9534-010101010000,내과,1,12,25,20,54,14,24
9cebeaa4-f03e-11ef-b0c5-010101010000,내과,0,1,2,1,2,1,1
9ced7120-f03e-11ef-a200-010101010000,내과,1,2,4,10,7,3,7
9ceed0bb-f03e-11ef-950c-010101010000,외과,0,14,3,6,6,4,6
9cefe221-f03e-11ef-8890-010101010000,내과,1,1,5,1,5,1,1
9cf05758-f03e-11ef-8aaf-010101010000,내과,1,4,1,1,1,1,1
9cf6ace1-f03e-11ef-a727-010101010000,외과,1,1,2,2,2,2,2
9cf74961-f03e-11ef-915d-010101010000,내과,0,25,19,15,51,7,11
9cfa7da5-f03e-11ef-84b4-010101010000,내과,1,1,1,1,1,1,1
9cfaf2e9-f03e-11ef-b008-010101010000,외과,0,12,2,2,1,1,2
9cfb19ec-f03e-11ef-aa81-010101010000,외과,1,1237,4164,2507,4870,3375,3463
9cfceec2-f03e-11ef-8daf-010101010000,내과,0,2044,1356,461,1365,1838,383
9cfe7554-f03e-11ef-81c9-010101010000,외과,1,6,4,30,8,30,33
9cfeea95-f03e-11ef-887e-010101010000,피부과,1,34,1,1,2,1,2
9d01a99c-f03e-11ef-8122-010101010000,피부과,1,1,2,3,2,3,3
9d02e22e-f03e-11ef-8420-010101010000,피부과,0,1,1,1,1,1,1
9d03ccb5-f03e-11ef-9964-010101010000,치과,0,1,1,1,1,1,1
9d0678eb-f03e-11ef-b27b-010101010000,내과,0,9,6,12,4,8,8
9d08c2d1-f03e-11ef-8f45-010101010000,외과,1,138,212,117,159,154,106
9d0a4983-f03e-11ef-9195-010101010000,내과,0,1,2,1,1,1,1
9d0bf72d-f03e-11ef-8dd9-010101010000,피부과,1,2504,1632,702,2415,1547,865
9d0cba7b-f03e-11ef-abc3-010101010000,외과,0,222,1,1,1,1,1
9d0ce187-f03e-11ef-a588-010101010000,내과,1,2,3,1,2,1,1
9d0da4d1-f03e-11ef-b1b7-010101010000,내과,0,1,1,1,1,1,1
9d0e8f42-f03e-11ef-8569-010101010000,피부과,0,8,6,3,4,2,4
9d0f7998-f03e-11ef-9a9f-010101010000,내과,0,2,2,1,1,1,1
9d1238af-f03e-11ef-9711-010101010000,내과,0,1,1,1,1,1,1
9d134a64-f03e-11ef-8858-010101010000,외과,0,1,1,1,1,1,1
9d158132-f03e-11ef-8e86-010101010000,피부과,0,1,4,1,4,1,1
9d1a1504-f03e-11ef-be2a-010101010000,내과,0,17,51,6,22,5,7
9d1d9785-f03e-11ef-a02b-010101010000,내과,1,1,2,4,4,3,5
9d1de5a1-f03e-11ef-a2c7-010101010000,외과,1,3,2,2,2,2,2
9d2119ee-f03e-11ef-a278-010101010000,외과,0,3,25,20,59,8,26
9d222b9d-f03e-11ef-9dfc-010101010000,내과,0,23,8,29,17,50,24
9d2279ca-f03e-11ef-becb-010101010000,내과,0,9,493,74,359,99,97
9d24276e-f03e-11ef-bfde-010101010000,내과,0,1,2,2,2,2,1
9d246240-f03e-11ef-9490-010101010000,외과,0,2,1,1,2,1,1
