answer_id,department,orig_is_multi,E-6,E-8,E-2
9cc895b8-f03e-11ef-b7c9-010101010000,치과,1,2,4,1
9cc91eea-f03e-11ef-a3dd-010101010000,내과,0,1,1,1
9cc945eb-f03e-11ef-9e94-010101010000,외과,1,1,1,1
9cca3051-f03e-11ef-85a0-010101010000,피부과,0,1,1,1
9ccb1aae-f03e-11ef-8255-010101010000,내과,1,142,439,217
9ccb41bf-f03e-11ef-9a93-010101010000,내과,0,3,11,22
9cce00e0-f03e-11ef-8bfe-010101010000,외과,1,3,10,2
9ccec434-f03e-11ef-b209-010101010000,외과,1,96,140,78
9cd15c42-f03e-11ef-b4e4-010101010000,치과,0,2,4,4
9cd21f96-f03e-11ef-8c18-010101010000,내과,0,5,15,9
9cd309eb-f03e-11ef-9b31-010101010000,외과,1,10,21,34
9cd44270-f03e-11ef-afae-010101010000,내과,1,4,11,3
9cd4697c-f03e-11ef-8daf-010101010000,내과,0,73,47,81
9cd68c9f-f03e-11ef-9099-010101010000,내과,1,111,266,69
9cd6daaf-f03e-11ef-8c55-010101010000,내과,0,22,12,44
9cd79e0b-f03e-11ef-92ce-010101010000,내과,0,1,1,1
9cdbd0bb-f03e-11ef-9573-010101010000,피부과,1,3,3,1
9cdbf7ca-f03e-11ef-8996-010101010000,내과,1,67,80,13
9cdcbb26-f03e-11ef-8e3e-010101010000,내과,0,1,1,1
9ce08baf-f03e-11ef-ba87-010101010000,내과,1,1,1,1
9ce17611-f03e-11ef-a638-010101010000,외과,1,9,10,92
9ce1eb2b-f03e-11ef-b723-010101010000,외과,1,1,8,7
9ce2ae8a-f03e-11ef-a2c8-010101010000,내과,1,1,4,10
9ce594f1-f03e-11ef-9025-010101010000,내과,0,1,1,3
9ce67f45-f03e-11ef-8d9e-010101010000,외과,1,1,4,2
9ce84105-f03e-11ef-abc8-010101010000,외과,0,1,2,2
9ce92b6b-f03e-11ef-a6cb-010101010000,내과,0,1,2,2
9ce9eeb8-f03e-11ef-8fec-010101010000,외과,1,18,6,32
9cea63ea-f03e-11ef-bc3c-010101010000,내과,0,3,3,6
9cead91e-f03e-11ef-b517-010101010000,내과,0,1,1,3
9cebc376-f03e-11ef-9534-010101010000,내과,1,20,104,25
9cebeaa4-f03e-11ef-b0c5-010101010000,내과,0,1,1,2
9ced7120-f03e-11ef-a200-010101010000,내과,1,10,32,4
9ceed0bb-f03e-11ef-950c-010101010000,외과,0,6,16,3
9cefe221-f03e-11ef-8890-010101010000,내과,1,1,16,5
9cf05758-f03e-11ef-8aaf-010101010000,내과,1,1,3,1
9cf6ace1-f03e-11ef-a727-010101010000,외과,1,2,2,2
9cf74961-f03e-11ef-915d-010101010000,내과,0,15,21,19
9cfa7da5-f03e-11ef-84b4-010101010000,내과,1,1,1,1
9cfaf2e9-f03e-11ef-b008-010101010000,외과,0,2,2,2
9cfb19ec-f03e-11ef-aa81-010101010000,외과,1,2507,3488,4164
9cfceec2-f03e-11ef-8daf-010101010000,내과,0,461,751,1356
9cfe7554-f03e-11ef-81c9-010101010000,외과,1,30,83,4
9cfeea95-f03e-11ef-887e-010101010000,피부과,1,1,2,1
9d01a99c-f03e-11ef-8122-010101010000,피부과,1,3,3,2
9d02e22e-f03e-11ef-8420-010101010000,피부과,0,1,1,1
9d03ccb5-f03e-11ef-9964-010101010000,치과,0,1,1,1
9d0678eb-f03e-11ef-b27b-010101010000,내과,0,12,9,6
9d08c2d1-f03e-11ef-8f45-010101010000,외과,1,117,112,212
9d0a4983-f03e-11ef-9195-010101010000,내과,0,1,1,2
9d0bf72d-f03e-11ef-8dd9-010101010000,피부과,1,702,761,1632
9d0cba7b-f03e-11ef-abc3-010101010000,외과,0,1,1,1
9d0ce187-f03e-11ef-a588-010101010000,내과,1,1,1,3
9d0da4d1-f03e-11ef-b1b7-010101010000,내과,0,1,1,1
9d0e8f42-f03e-11ef-8569-010101010000,피부과,0,3,5,6
9d0f7998-f03e-11ef-9a9f-010101010000,내과,0,1,1,2
9d1238af-f03e-11ef-9711-010101010000,내과,0,1,1,1
9d134a64-f03e-11ef-8858-010101010000,외과,0,1,1,1
9d158132-f03e-11ef-8e86-010101010000,피부과,0,1,2,4
9d1a1504-f03e-11ef-be2a-010101010000,내과,0,6,84,51
9d1d9785-f03e-11ef-a02b-010101010000,내과,1,4,4,2
9d1de5a1-f03e-11ef-a2c7-010101010000,외과,1,2,2,2
9d2119ee-f03e-11ef-a278-010101010000,외과,0,20,28,25
9d222b9d-f03e-11ef-9dfc-010101010000,내과,0,29,33,8
9d2279ca-f03e-11ef-becb-010101010000,내과,0,74,70,493
9d24276e-f03e-11ef-bfde-010101010000,내과,0,2,1,2
9d246240-f03e-11ef-9490-010101010000,외과,0,1,1,1
9d288137-f03e-11ef-8117-010101010000,내과,0,8,9,16
9d29b9b8-f03e-11ef-b060-010101010000,내과,1,2,5,2
9d2a07ca-f03e-11ef-a115-010101010000,피부과,1,3,12,20
9d2aa419-f03e-11ef-b5e5-010101010000,내과,0,84,367,226
9d2acb1b-f03e-11ef-a97a-010101010000,피부과,0,3,5,7
9d2e74a6-f03e-11ef-8e30-010101010000,외과,1,1,1,1
9d3133c6-f03e-11ef-bf33-010101010000,안과,0,1,5,5
9d332fcd-f03e-11ef-aab0-010101010000,내과,1,146,211,22
9d347c52-f03e-11ef-8aef-010101010000,내과,0,1,1,1
9d395e4d-f03e-11ef-a9fb-010101010000,안과,1,8,94,40
9d3cb9b4-f03e-11ef-b9c5-010101010000,내과,0,1,1,1
